Year,stress_index,gen_av,comm
810,3,1.111111111,fv
811,0,1.111111111,fv
812,0,1.111111111,fv
813,1,1.222222222,fv
814,0,1.222222222,fv
815,0,1.222222222,fv
816,0,1.222222222,fv
817,3,1.111111111,fv
993,2,1.222222222,fv
994,1,1.222222222,fv
995,2,1.333333333,fv
996,1,1.333333333,fv
997,1,1.222222222,fv
998,0,1.222222222,fv
999,0,1.111111111,fv
1008,3,1.111111111,fv
1009,0,1.111111111,fv
1010,1,1.111111111,fv
1011,1,1.222222222,fv
1012,1,1.222222222,fv
1013,0,1.222222222,fv
1068,3,1.333333333,fv
1069,1,1.444444444,fv
1070,1,1.333333333,fv
1071,0,1.222222222,fv
1072,0,1.222222222,fv
1073,0,1.222222222,fv
1094,3,1.222222222,fv
1095,0,1.222222222,fv
1096,1,1.333333333,fv
1097,0,1.222222222,fv
1098,4,1.666666667,fv
1099,0,1.555555556,fv
1100,0,1.111111111,fv
1101,1,1.111111111,fv
1102,1,1.111111111,fv
1158,4,1.222222222,fv
1159,1,1.333333333,fv
1160,0,1.333333333,fv
1161,0,1.222222222,fv
1162,0,1.222222222,fv
1217,4,1.222222222,fv
1218,3,1.555555556,fv
1219,1,1.444444444,fv
1220,0,1.333333333,fv
1221,0,1.333333333,fv
1222,2,1.444444444,fv
1223,0,1.444444444,fv
1224,1,1.222222222,fv
1225,0,1.222222222,fv
1285,3,1.111111111,fv
1286,3,1.444444444,fv
1287,0,1.333333333,fv
1288,3,1.555555556,fv
1289,0,1.555555556,fv
1290,1,1.555555556,fv
1291,0,1.555555556,fv
1292,0,1.111111111,fv
1293,0,1.111111111,fv
810,3,1.111111111,more
811,0,1.111111111,more
812,0,1.111111111,more
813,1,1.222222222,more
814,0,1.222222222,more
815,0,1.222222222,more
816,0,1.222222222,more
817,3,1.111111111,more
993,2,1.222222222,more
994,1,1.222222222,more
995,2,1.444444444,more
996,1,1.444444444,more
997,1,1.333333333,more
998,0,1.333333333,more
999,0,1.111111111,more
1068,3,1.333333333,more
1069,1,1.444444444,more
1070,1,1.333333333,more
1071,0,1.222222222,more
1072,0,1.222222222,more
1073,0,1.222222222,more
