Site No.,SU Type,SU No.,SU Description,FAP,FAP General,FAP Specific,FAT,FAT General,FAT Specific,PD No.,FS No.,PL No.,Item No.,Type Code,Type,Form,Part,Finish,Count,Weight (g),Vessel,Comments,Collection Date
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,GRA,Indeterminate Local Gray,J,B,,2,5.6,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,LWU,Late White Unpainted,J,B,,3,15,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,EWU,Early White Unpainted,B,B,,1,1.3,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,CRG,Indeterminate Local Corrugated Gray,J,B,,14,37.8,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,1,MRG,Mancos Corrugated Gray,J,R,,1,7.4,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,2,MBW,Mancos Black-on-white,B,R,M,1,7.6,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,3,MBW,Mancos Black-on-white,B,R,X,1,12.4,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,6,,,LBW,Late White Painted,J,B,M,1,4.6,,,8/29/1996
5MT5,NST,101,extramural surface,16,surface contact,ephemeral or reuse surface in fill,10,cultural deposit,not further specified,456,1,1,,LWU,Late White Unpainted,J,B,,1,14.5,,,8/6/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,HBW,Pueblo III White Painted,B,B,C,2,19.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,B,B,C,38,133.2,,2 pieces refit,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,J,B,C,10,45.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,EBW,McElmo Black-on-white,B,B,C,2,38.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,O,B,,1,5.9,,handles,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,CRG,Indeterminate Local Corrugated Gray,J,B,,330,1036.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,O,B,,1,5.8,,handle,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,U,B,,3,8,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,B,B,,9,42.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,J,B,,28,115.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,U,B,C,7,4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,1,MRG,Mancos Corrugated Gray,J,R,,1,5.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,2,MRG,Mancos Corrugated Gray,J,R,,1,9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,3,VRG,Mesa Verde Corrugated Gray,J,R,,1,5.6,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,4,CRG,Indeterminate Local Corrugated Gray,J,R,,1,4.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,5,CRG,Indeterminate Local Corrugated Gray,J,R,,1,2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,6,CRG,Indeterminate Local Corrugated Gray,J,R,,1,0.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,7,LWU,Late White Unpainted,B,R,,1,38.2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,8,LWU,Late White Unpainted,J,R,,1,1.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,9,LBW,Late White Painted,J,R,C,1,1.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,10,LBW,Late White Painted,J,R,C,1,1.5,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,11,HBW,Pueblo III White Painted,B,R,C,1,1.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,12,HBW,Pueblo III White Painted,B,R,C,1,5.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,13,HBW,Pueblo III White Painted,B,R,C,1,0.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,14,HBW,Pueblo III White Painted,B,R,C,1,8.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,15,LBW,Late White Painted,B,R,C,1,2.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,16,LBW,Late White Painted,B,R,C,1,6.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,17,LBW,Late White Painted,B,R,C,1,5.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,18,LBW,Late White Painted,B,R,C,1,2.2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,19,LBW,Late White Painted,B,R,C,1,1.7,,,5/22/1996
